"LoanOriginalAmount","DebtToIncomeRatio","credit_and_prosper_grade","BankcardUtilization"
21000,0.24,"A",NA
8000,0.2,"A",0.36
17746,0.22,"A",0.48
4000,0.32,"B",0.96
4000,0.4,"E",0.93
10001,0.49,"D",0.81
10500,0.26,"D",0.16
25000,0.09,"C",0.8
15000,0.28,"AA",0.01
1315,0.04,"C",0.94
5000,0.36,"D",0.68
2000,0.16,"D",0
2000,0.08,"B",0.31
15000,0.25,"A",0.64
4000,0.3,"HR",0.66
8500,0.29,"D",0.74
25000,0.12,"A",0.53
3000,0.21,"C",0.81
10500,0.1,"AA",0.07
8500,0.14,"D",0.47
4000,0.33,"D",0.73
8000,NA,"C",0
1000,0.09,"E",NA
10000,0.13,"A",0.87
15000,0.16,"B",0.44
4500,0.11,"A",0.18
13000,0.32,"C",0.73
10000,0.19,"D",0.18
4000,0.26,"C",0.49
2000,0.45,"C",0.95
15000,0.25,"B",0.53
13000,0.08,"AA",0.54
15000,0.17,"A",0.94
5000,0.24,"B",0.2
14673,0.3,"A",0.54
5500,0.04,"E",0.77
2500,0.31,"A",0.12
1200,0.06,"HR",1.12
10000,NA,"D",0.43
25000,0.19,"B",0.73
15000,0.19,"C",0.88
10000,0.28,"B",0.81
5000,0.45,"D",NA
19500,0.22,"C",0.99
4000,NA,"HR",0.65
6000,0.17,"A",0.53
4000,0.27,"A",0.12
6000,0.16,"D",0.92
2550,0.28,"HR",NA
5500,0.14,"D",0.71
20000,0.13,"C",0.95
10000,0.28,"AA",0.41
4000,0.14,"E",0.81
11650,0.35,"B",0.49
10000,0.32,"A",0.5
2500,NA,"HR",0.98
4000,0.28,"E",0
10000,0.4,"D",0.47
1000,0.37,"E",0.86
10000,0.18,"D",0.95
15000,0.29,"C",0.61
2500,0.31,"HR",0
20000,0.23,"AA",0.35
10000,0.21,"D",0.81
15000,NA,"A",0.12
5000,0.39,"D",NA
5500,0.12,"C",0.75
1000,0.16,"A",0.75
7000,0.13,"D",0.06
15000,0.25,"B",0.09
6200,0.24,"B",0.24
6000,0.17,"D",0.45
6000,0.16,"C",0.49
7600,0.43,"B",0.69
2000,0.2,"D",0.6
6000,0.16,"A",0.07
2500,0.2,"D",0.98
2000,0.15,"E",0.47
4000,0.18,"E",0.83
9800,0.28,"B",0.41
10000,0.07,"A",0.84
7143,0.19,"A",0.94
18000,0.18,"AA",0.31
3250,0.26,"E",0.67
2400,0.37,"C",0.73
5500,0.18,"C",0.91
7499,0.39,"C",0.75
10000,0.08,"A",0
2500,0.42,"E",0.51
15000,0.33,"C",0.82
4000,0.55,"HR",0.85
4000,0.51,"HR",0.9
15000,0.2,"C",0.99
2200,0.2,"A",0.14
2000,0.32,"E",NA
5000,0.37,"D",0.51
1000,0.34,"D",0.98
3500,0.12,"D",0.71
9000,0.2,"AA",0.04
10000,NA,"D",0.35
2000,0.08,"C",1.02
8500,0.17,"B",0.93
7500,0.26,"D",0.8
8950,0.26,"D",0.86
25000,0.11,"AA",0.22
15000,0.22,"A",0
5000,0.28,"A",0.57
6000,0.07,"AA",0.05
3000,0.08,"D",0.88
15000,0.19,"A",0.57
3000,0.08,"B",0.76
8000,0.42,"C",0.79
3750,0.2,"D",0.3
8000,0.34,"B",0.73
2000,0.16,"E",1.05
7000,0.35,"B",0.86
10000,0.11,"B",0.2
5000,0.11,"B",0.6
10000,NA,"D",0.37
5000,0.03,"A",NA
2500,0.15,"HR",NA
4000,0.08,"AA",0.06
4500,0.3,"B",0.32
15000,0.35,"C",0.96
25000,0.24,"C",0.7
3000,0.25,"HR",1.08
10000,0.16,"B",0.89
4000,0.16,"C",NA
1000,NA,"D",0.79
2000,0.04,"HR",0.1
20000,0.03,"AA",0.28
8500,NA,"B",0.18
4000,0.09,"HR",0.85
4500,0.17,"C",0.87
6001,0.32,"C",NA
1500,NA,"HR",1.12
5000,0.18,"AA",0.31
10000,0.18,"D",0.43
14000,0.51,"C",0.63
15000,0.51,"C",0.79
5000,NA,"NC",NA
10000,NA,"B",0.67
5000,0.17,"D",0.93
9000,0.33,"D",0.44
4000,0.46,"D",0.9
6000,0.15,"AA",0.24
7500,NA,"E",0.58
4000,0.37,"E",0.7
4000,0.25,"E",0.95
12472,0.1,"B",0.35
10000,NA,"AA",0.08
15000,0.11,"B",0.87
35000,0.3,"B",0.85
2000,0.01,"B",0
2800,0.23,"A",0.61
30000,0.24,"A",0.57
8000,0.29,"B",0.42
11000,0.1,"A",0.4
15000,0.29,"A",0.41
20000,0.2,"A",0.69
25000,0.32,"C",0.64
12000,0.14,"C",0.96
13750,0.35,"B",0.99
15000,0.16,"A",0.31
8000,0.27,"C",0.95
17500,0.11,"B",0.03
10000,0.29,"A",0.59
6500,0.17,"C",NA
3000,0.03,"AA",NA
10600,0.29,"C",0.51
2200,0.39,"C",0.84
3850,0.4,"C",0.99
7500,0.3,"D",0.97
10000,0.1,"C",0.32
3000,0.2,"A",0.68
5000,0.08,"B",0.86
4000,0.42,"E",0.97
3000,0.09,"B",0
5000,1.3,"A",0.89
25000,0.11,"B",0
4500,0.1,"B",0.92
15000,0.54,"B",0.47
15000,0.21,"C",0.58
4000,0.13,"B",0.98
6500,0.22,"C",0.44
5340,0.34,"A",0.28
25000,0.34,"C",1.01
10000,0.38,"C",0.78
5000,NA,"AA",0.09
4500,0.13,"D",0.99
9000,0.22,"A",0.7
6000,0.66,"D",0.26
6500,0.25,"B",0.76
2000,0.16,"B",0.66
4000,0.7,"E",0.14
3000,NA,"NC",NA
4000,0.05,"AA",0.01
15000,0.32,"B",NA
1600,0.25,"C",0.98
15000,0.37,"A",0.34
15000,NA,"B",0.58
9000,0.51,"D",0.64
15000,0.31,"B",0.76
15000,0.24,"B",0.84
20000,0.26,"B",0.65
4000,0.51,"C",0.93
7000,0.29,"C",0.22
12500,0.2,"C",0.84
7500,0.12,"D",0.97
8500,NA,"C",0.24
5500,0.21,"C",0.7
25000,0.63,"A",NA
4500,0.21,"D",0.31
25000,0.18,"AA",0.52
15000,0.44,"C",0.91
4500,0.22,"D",0.9
25000,0.1,"B",0.23
8000,NA,"A",0.27
2000,0.22,"E",NA
7000,NA,"C",0.89
6975,0.18,"D",0.31
10000,0.37,"B",0.03
30000,0.14,"B",0.82
4000,0.35,"E",0.85
20000,0.23,"AA",0.87
20000,0.36,"B",0.58
2000,0.14,"C",0.91
20000,0.2,"C",0.97
2000,0.51,"HR",0.56
2000,0.3,"B",0.74
9500,0.32,"D",0.92
4000,NA,"HR",0.68
25000,NA,"A",0.16
10000,0.19,"C",0.48
2000,0.12,"E",0.79
3000,0.04,"D",0.42
2600,0.01,"AA",0
16600,0.72,"E",NA
25000,0.18,"B",0.74
13000,0.49,"C",0.5
10000,NA,"AA",0.67
2000,0.1,"HR",0.88
15000,0.3,"A",0.91
3500,0.09,"A",0.03
4500,0.19,"E",0.75
7500,0.39,"E",1
5000,0.2,"C",0.25
10000,0.2,"B",0.38
15000,0.19,"A",0.84
6000,0.14,"A",0.65
10000,0.33,"AA",0.31
7500,0.25,"C",0.39
1800,0.03,"HR",NA
5700,0.52,"D",1
1200,0.1,"C",0.61
8000,0.12,"D",0.38
15000,0.4,"C",0.39
1500,0.1,"C",0.62
7175,0.06,"AA",0.14
6001,0.18,"AA",0.26
1000,0.29,"D",NA
15000,0.19,"A",0.84
5000,0.11,"AA",0.58
7500,0.08,"D",0.85
7456,NA,"D",0.46
15000,0.44,"B",0.41
10000,0.14,"B",0.72
1300,0.12,"E",NA
4000,0.17,"D",0.91
6050,0.28,"E",NA
3500,0.35,"HR",0.98
9500,0.45,"C",0.74
15000,0.27,"D",0.62
5000,0.19,"D",0.16
2750,0.3,"HR",0.88
3500,0.06,"C",0.56
3500,0.37,"E",0.75
4500,0.17,"C",0.56
3000,0.16,"C",0
4000,0.47,"HR",0.97
4500,0.14,"B",0.76
3000,0.19,"E",0.99
12000,NA,"D",0.98
15000,0.53,"C",0.24
2000,0.12,"B",0.84
4000,0.08,"HR",0
10000,0.19,"E",0.76
10000,0.19,"B",0.74
3000,0.19,"D",NA
2000,NA,"HR",0.25
25000,0.17,"C",0.29
1500,0.63,"D",0.7
10000,0.25,"A",0.32
2000,0.11,"AA",0.72
25000,0.21,"A",0.85
1000,0.14,"D",0.14
3000,0.32,"AA",0.16
15000,0.4,"B",0.79
10000,0.49,"D",0.64
4000,NA,"HR",0.15
4000,0.19,"E",0.85
4000,0.31,"D",0.64
6500,0.08,"A",0.03
3000,0.14914,"C",NA
3000,0.13,"A",0.26
20000,0.15,"B",0.9
4000,0.38,"HR",0.2
1000,NA,"HR",0.92
10000,0.48,"D",0.8
10796,0.15,"A",0.39
2500,0.34,"B",0
4000,0.31,"HR",0.71
20000,0.28,"B",0.67
5000,0.17,"A",0
2000,0.34,"D",0.48
4000,0.15,"E",0.94
10000,0.36,"C",0.85
10000,0.34,"C",0.51
25000,0.33,"D",0.45
9500,0.21,"D",0.37
5000,0.08,"C",0.19
15000,0.7,"C",0.53
5000,NA,"B",0.97
3000,0.07,"D",0.04
5500,0.27,"C",0.73
10000,0.33,"D",0.95
3000,0.22,"B",0.95
15000,0.36,"B",0.44
4000,0.3,"C",0.37
2500,0.17,"D",1.06
10000,0.27,"C",0.45
8000,NA,"B",0.25
15000,0.43,"C",0.8
5000,0.25,"D",0.18
4000,0.15,"HR",0.29
25000,0.19,"C",0.72
4000,0.14,"D",0.42
4500,0.16,"E",NA
15000,0.28,"A",0.51
1500,0.03,"A",0
10000,0.46,"E",0.34
35000,0.22,"A",0.63
9000,0.23,"C",0.98
2500,0.14,"D",0.01
5000,0.18,"D",0.2
3000,0.23,"A",0.58
2500,0.22,"A",0.48
20000,0.11,"AA",0.67
10000,0.23,"B",0.61
10000,0.22,"C",0.91
19500,0.26,"AA",0.63
7500,NA,"D",0.67
6100,0.09,"B",0.55
9271,0.5,"C",0.77
4000,0.23,"E",0.73
7500,NA,"C",0.98
20000,0.27,"A",0.51
1600,0.14,"B",0.54
15000,0.42,"AA",0.22
3500,0.28,"E",NA
4000,NA,"E",0.8
15000,0.24,"C",0.56
14000,0.26,"A",0.83
2000,0.18,"D",0.87
3000,0.11,"A",0.14
7000,0.09,"D",0
4000,0.09,"HR",1.03
1500,0.06,"D",0.21
5000,0.21,"A",0.67
20000,0.13,"C",0.83
25000,0.28,"B",0.67
2500,0.06,"HR",NA
15000,0.33,"B",NA
4000,0.15,"E",0.82
12000,0.18,"AA",0.32
2000,NA,"D",0.34
20000,0.27,"A",0.69
5000,0.18235,"HR",NA
2500,0.07,"D",0.78
18000,0.2,"A",0.44
12000,0.32,"A",0.44
10000,0.46,"D",0.67
15000,0.41,"A",0.23
2000,0.04,"C",0.44
2000,0.24,"C",0.67
9000,0.22,"C",0.97
9000,0.22,"C",0.97
9000,0.15,"A",0.31
8000,0.27,"A",0.77
6001,0.19,"D",NA
10000,0.52,"A",0.42
15000,0.21,"C",0.66
25000,0.23,"C",0.69
3500,0.24,"E",0.83
25000,0.29,"B",0.8
10000,0.28,"E",0.28
6000,0.17,"B",0.67
2000,3.92,"A",0.2
5000,0.56,"E",0.98
10000,0.07,"AA",0.02
10000,0.39,"D",0.84
20000,0.11,"AA",0.27
4000,0.14,"HR",0.26
20000,0.13,"AA",0.18
4000,NA,"HR",0.71
20000,0.74,"A",0.56
15000,0.28,"D",0.25
3000,0.26,"AA",0.23
1500,0.15,"E",0.05
13000,0.09,"A",0.56
4000,0.43,"HR",0.71
2976,0.18,"HR",0.87
5000,0.31,"D",0.79
4000,0.25,"D",0.75
8000,0.09,"AA",0.48
20000,0.3,"A",0.45
3000,0.15,"D",0
3000,0.19,"C",1.07
5000,0.33,"D",0.62
2500,0.3,"D",0.69
25000,0.19,"C",0.63
2000,0.15705,"C",NA
7000,0.33,"D",0.63
8000,0.32,"AA",0.19
2000,0.25,"E",0.47
13000,0.14,"D",0.07
2100,0.18,"E",0.91
4000,0.41,"HR",0.86
20000,0.26,"B",0.82
15000,0.29,"A",0.97
12000,0.11,"B",0.36
1000,0.06,"D",1.34
3000,0.31,"C",0.97
15000,0.25,"D",0.77
13000,0.25,"D",0.47
19000,0.18,"AA",0.27
4500,0.14,"B",0.51
7000,0.28,"C",0.95
2550,0.25,"HR",NA
4000,0.2,"E",0.53
9500,0.27,"D",0.64
7800,0.4,"D",0.19
5000,0.17,"C",0.98
12500,0.26,"C",0.75
10000,0.37,"C",0.58
7000,0.41,"B",0.72
8000,0.06,"A",0
2125,NA,"NC",NA
4000,0.46,"C",0.49
5000,0.17,"E",0.97
2000,0.13,"C",0.5
5000,0.18,"D",0.93
2000,0.29,"E",NA
2000,0.19,"C",0.74
8000,0.2,"B",0.7
10000,0.16,"B",NA
9000,0.08,"D",0
15000,0.22,"D",0.96
4000,0.27,"B",0.85
10000,0.18,"D",0.87
5000,0.17,"HR",0.52
4000,0.2,"D",0.75
4000,0.29,"HR",0.71
15000,0.19,"B",0.63
7500,0.25,"AA",0.2
4000,0.06392,"D",NA
7000,0.14,"C",0.21
2500,0.23,"B",0.33
4200,0.25,"C",0.86
2000,0.5,"D",NA
25000,0.18,"C",0.62
15000,0.16,"AA",0.44
5500,0.34,"D",0.8
4000,0.32,"HR",0.67
5000,0.04,"B",0.94
2000,0.14,"C",0.98
25000,0.27,"C",0.76
4000,0.12,"HR",0
3000,0.33,"AA",0.74
15000,0.31,"C",0.43
7000,0.15,"D",0.86
10000,0.32,"A",0.36
5000,0.37,"E",NA
4000,0.11,"E",0.81
15000,NA,"A",0.51
6000,0.31,"D",0.46
3000,0.42,"D",1.06
2000,0.18,"HR",0.75
4500,0.12,"AA",NA
20000,0.14,"B",0.01
25000,0.04,"C",0.71
4250,0.15,"B",0.64
4000,0.44,"E",0.58
6000,0.22,"C",0.58
15000,0.17,"B",0.42
25000,0.36,"AA",0
10000,0.26,"B",0.08
19990,0.08,"AA",0.07
4000,NA,"HR",0.66
8500,0.2,"AA",0.27
7500,0.25,"E",0.88
1500,0.24,"D",0.82
7000,0.36,"C",0.8
1500,0.31,"HR",0.84
3000,0.35,"E",0.98
5000,0.37,"C",1
1000,0.04,"D",0.28
4000,0.26,"E",0
15000,0.14,"B",0.97
2000,0.17,"HR",NA
8500,0.26,"B",0.64
2000,0.41,"E",0.8
8786,0.28,"C",0.68
4000,0.27,"HR",0.18
7500,0.25,"D",0.57
2000,0.09,"AA",0.03
13000,0.19,"A",0.21
5000,0.25,"A",0.45
4000,0.17,"E",0.84
4000,0.39,"HR",1
6000,NA,"AA",0.59
4000,NA,"HR",0.2
7500,0.21,"D",0.87
3500,0.31,"A",0.67
13200,0.16,"A",0.63
20000,0.11,"AA",0.59
3000,0.22,"C",0.96
19000,0.15,"C",0.97
2500,NA,"HR",0.91
10000,0.36,"A",0
15000,0.34,"C",0.98
1800,0.32,"D",0.79
11500,0.2,"A",0.38
6000,0.29,"A",0.56
15000,0.24,"A",0.3
5500,0.1,"A",0.84
12000,0.19,"AA",0.26
15000,0.22,"A",0.77
13000,0.07,"A",0.84
6000,0.11,"D",0.9
3000,NA,"AA",0.01
10000,0.14,"D",0.46
5000,0.16,"A",0.51
11000,0.18,"B",0.9
7300,0.19,"C",0.66
6001,0.19,"AA",0
5000,NA,"A",0.64
7000,0.35,"A",0.68
10000,0.4,"C",0.22
3600,0.14,"C",0.71
6500,0.36,"D",0.95
25000,0.39,"AA",0.83
4000,0.26,"HR",0.6
25000,0.16,"A",0.51
10000,0.3,"C",0.97
5000,0.19,"B",0.66
25000,1.49,"AA",NA
13500,0.31,"C",0.94
9900,0.46,"B",0.75
1000,0.09,"HR",0
2000,0.14,"D",0.52
4000,0.23,"E",0.9
10000,0.29,"D",0.63
20000,0.12,"A",0.56
4000,NA,"HR",0.79
35000,0.34,"B",0.06
15000,0.27,"A",0.67
15000,0.72,"B",0.8
5500,0.15,"D",0.84
5000,0.33,"B",0.92
10000,0.18,"C",0.86
2000,0.31,"D",0
35000,0.14,"B",0.47
5000,0.14,"HR",0.25
2300,0.33,"A",0.4
15000,0.21,"A",0.15
5000,0.17,"E",1
3000,0.13,"D",0.93
5500,0.22,"E",0.94
5600,0.18,"D",0.98
5000,0.11,"AA",0.82
1500,0.6,"D",NA
10000,0.28,"B",0.47
7500,0.26,"C",0.76
2000,0.34,"C",0.88
4000,0.08,"D",0.77
15000,0.26,"D",0.47
5000,NA,"B",0.24
6000,NA,"B",0.73
4000,0.12,"E",0.44
6250,0.13,"C",0.9
12000,0.22,"A",0.19
7000,0.3,"B",0.8
8000,NA,"C",0.71
2000,NA,"C",0.21
4000,0.06,"E",0.84
25000,0.29,"B",0.44
8500,0.36,"C",0
20000,0.12,"AA",0.25
7000,0.05,"A",0.84
25000,NA,"AA",0.08
15000,0.21,"AA",0.5
4000,0.13,"HR",0
4000,0.1,"C",0.84
3500,0.31,"HR",0.77
10000,0.24,"A",0.62
2550,0.04,"E",NA
4000,NA,"HR",0.9
10000,0.2,"A",0.8
10000,0.09,"A",0.3
2000,0.16,"C",0.76
10000,0.18,"A",0.37
4000,0.41,"E",0.57
4000,0.16,"C",0.71
4000,0.2,"HR",0.81
4000,NA,"E",1.14
7500,0.25,"A",0.14
4000,0.46,"D",0.87
23500,0.12,"C",0.87
4000,0.48,"E",0.19
15000,0.34,"C",0.52
4000,0.18,"E",0.16
4000,NA,"HR",0.96
10000,0.08,"C",NA
3200,0.16,"HR",0.97
15000,0.13,"AA",0
15000,0.17,"A",0
5000,0.24,"C",0.65
10000,NA,"C",0.87
4500,0.35,"A",0.62
9000,0.08,"A",0.28
2300,0.11,"HR",0.76
15000,NA,"A",0.8
3000,0.58,"D",0.89
15000,0.24,"B",0.53
10000,0.12,"B",0.79
20000,0.22,"AA",0.94
4000,0.25,"HR",0.68
13000,0.17,"B",0.48
3100,0.15,"AA",0.69
2500,0.02,"D",0
10000,0.1,"AA",0.36
9500,0.25,"AA",0.58
10000,0.4,"C",0.66
10000,0.35,"C",0.69
7500,0.19,"D",1.04
4000,0.18,"D",0.53
4000,0.19,"C",0.51
7500,NA,"E",0.77
2000,0.23,"C",0.1
15000,0.24,"C",0.81
10000,0.41,"B",0.36
15000,0.61,"D",0.58
7500,0.18,"B",0.11
4500,0.24,"E",0.87
17000,0.17,"C",0.98
10000,0.15,"B",0.64
7000,0.19,"A",0.22
15000,0.34,"AA",0.15
3500,0.14,"E",NA
15000,0.34,"C",0.84
4000,0.13,"HR",0.81
3000,0.38,"D",0.98
6000,0.39,"A",0.21
4000,0.22,"E",0.71
4000,0.04,"E",0.13
15000,0.26,"AA",0.74
15000,0.12,"D",0
9000,0.17,"B",0.42
15000,0.21,"B",0.87
15000,0.45,"D",0.33
7500,0.21,"B",NA
5000,0.2,"C",0.94
15000,0.1,"A",0.35
1100,0.08,"E",NA
6000,0.43,"D",0.93
15000,0.71,"B",0.48
3500,0.36,"C",0.97
1800,0.67,"C",0.91
5000,0.47,"C",0.61
15000,0.44,"B",0.66
7500,0.33,"D",0.53
3000,0.03,"D",0
20000,0.17,"A",0.39
6500,0.15,"C",0
15001,0.29,"C",0
10000,NA,"A",0.34
8000,0.17,"C",0.84
25000,0.16,"B",0.99
4000,0.24,"B",0.52
18000,0.16,"AA",0.44
15000,0.19,"C",0.92
10000,0.23,"AA",0.01
2950,0.11,"D",0
14000,0.28,"C",0.48
4500,0.22,"C",0.36
15000,0.41,"A",NA
5000,0.21,"C",0.52
10000,0.44,"D",0.91
4500,0.08,"D",0.62
7000,NA,"C",0.41
10000,0.22,"B",0.4
8000,0.34,"D",0.41
4000,0.5,"HR",0.8
3000,0.24,"E",0.88
2500,0.14,"A",0.65
11500,0.11,"C",0.81
3000,0.17,"E",NA
1000,0.77,"HR",1.09
25000,0.17,"B",0.52
8000,0.21,"E",0.66
2500,0.23,"D",1
20000,0.21,"A",0.87
19000,0.18,"B",0.93
3000,0.05,"C",0.49
15000,0.36,"B",0.82
7000,0.31,"D",0.69
5000,0.15,"A",0.35
5000,0.28,"A",0.57
6000,NA,"C",0.44
10000,0.25,"C",0.38
10000,NA,"C",0.82
15000,NA,"B",0.81
5000,0.18,"B",0.47
2500,0.29,"E",NA
3000,0.1,"A",0.37
10000,0.2,"D",0.43
6000,0.64,"D",0.84
20000,0.18,"B",0.16
1000,1.54,"HR",NA
25000,0.21,"A",0.87
3000,0.24,"HR",0.63
20000,0.35,"B",0.74
15000,0.22,"D",0.62
6500,0.19,"B",0.29
5000,0.25,"C",0
15000,0.41,"B",0.49
3000,0.07,"E",0
3500,0.2,"E",0.84
6200,0.15,"A",0.83
2000,0.04,"HR",1.14
6001,0.18,"C",0.42
2000,0.08,"HR",2.5
9000,0.21,"C",0.71
2350,0.17,"D",0.7
4135,0.12,"A",0.02
11000,0.27,"C",0.9
5000,0.16,"D",0.62
1000,NA,"B",0
20000,0.11,"B",NA
11000,0.21,"B",0
3000,0.11,"D",NA
4000,0.21,"E",0.96
2500,0.24,"HR",0.83
1600,0.1,"HR",1.3
5000,0.07,"A",0.17
15000,0.26,"D",0.72
3000,0.2,"C",0.75
13000,0.23,"A",NA
5000,NA,"C",0.27
5000,0.19,"AA",0.12
6000,0.15,"A",0.56
4000,0.38,"E",0
9500,0.25,"A",0.49
7500,0.39,"E",0.55
3000,0.41,"A",0.58
4000,NA,"B",0.17
4000,0.26,"A",0.53
13000,0.2,"D",0.56
4000,0.05,"E",0
4000,NA,"B",0.68
7000,0.33,"B",0.53
15000,0.34,"C",0.7
10000,0.92,"AA",0.01
10000,0.15,"C",0.22
9999,0.36,"B",0.26
4000,0.2,"HR",0.88
4000,NA,"HR",0
4000,0.15,"HR",0.32
7500,0.19,"AA",0.09
7500,0.26,"C",0.52
2000,0.18,"A",0.7
10000,0.4,"C",0.58
3000,0.34,"D",0.48
10000,0.28,"A",0.86
7000,0.09,"C",0.9
1000,0.19237,"D",NA
2500,0.1,"E",0.84
6000,0.23,"C",0
10000,0.14,"C",0.93
4500,0.22,"C",0.93
10000,0.44,"E",0.84
5000,0.21,"A",0.05
15000,0.23,"A",0.46
12000,0.26,"A",0.53
4400,0.22,"D",0.91
9000,0.76,"C",0.57
3000,0.39,"E",0.95
15152,0.15,"B",0.77
2000,0.12,"E",1.02
25000,0.25,"C",0.63
2000,0.08,"HR",1.24
2000,0.05,"A",0.13
2000,0.22,"D",0.09
7500,NA,"C",0.2
2000,0.1,"AA",0.02
20000,0.22,"AA",0.17
15000,0.43,"B",0.36
4000,0.06,"HR",0.81
11500,0.24,"B",0.35
3000,0.24,"D",0.61
8800,0.11,"A",0
5000,0.32,"D",0.79
4000,0.38,"E",0.81
1500,0.09,"HR",1.01
4000,0.36,"D",0.14
15000,NA,"B",0.74
10000,NA,"B",0.14
5000,0.04042,"E",NA
20000,0.19,"A",0.47
5826,0.05,"AA",0.12
2000,0.09,"B",0.33
25000,0.14,"A",0.61
25000,0.22,"C",NA
4000,0.07,"E",0.78
4000,0.17,"HR",0
4000,0.22,"B",0.9
2000,0.13,"E",0.43
10000,0.29,"B",0.81
3500,0.23,"E",0.64
5000,0.18,"B",0.74
4000,NA,"HR",0.51
15000,NA,"A",0.86
15000,0.13,"A",0.51
4500,0.17,"C",0.73
6000,0.17,"C",0.87
8500,0.19,"A",0.08
12500,0.1,"A",0.43
3000,0.25,"A",0.28
1500,0.4,"HR",0.97
2000,0.18,"E",0.84
10000,0.56,"C",0.79
5000,0.17,"D",0
2000,0.39,"B",0.66
1500,0.11,"C",NA
1200,0.03,"HR",NA
10000,0.4,"C",0.9
9000,0.17,"C",0.18
3500,0.3,"C",0.81
10000,0.22,"C",0.86
7000,0.27,"D",0.49
4500,0.12,"A",0.92
20946,0.18,"A",0.93
3000,NA,"HR",0.48
15000,0.4,"A",0.48
3000,0.13,"A",0.31
2000,0.19,"C",0.75
15000,1.23,"D",0.4
2000,NA,"E",0.62
3800,0.27,"D",0.94
12500,0.13,"A",0.99
5000,0.09,"D",0.12
4000,0.31,"HR",0.87
6000,0.08,"B",0.94
15000,0.4,"C",0.44
5000,0.13,"B",0.72
4000,0.23,"HR",0.85
4000,0.38,"HR",0.39
8000,0.14,"C",0.55
11500,0.12,"A",0.71
5000,0.13,"C",0.91
8500,0.15,"AA",0.67
10000,0.13,"C",0.96
5000,0.08,"A",0.78
2000,0.25,"D",1.01
4000,NA,"A",0.28
22000,0.27,"C",0.91
3000,0.29,"E",0.93
10000,0.14,"D",0
5000,0.12,"C",0.92
10000,0.22,"C",0.68
8550,0.25,"D",0.66
2000,0.29,"HR",0.58
4000,0.25,"E",0.86
25000,0.07,"AA",0.33
3000,0.76,"HR",0.92
7000,0.23,"AA",0.09
7000,0.12,"B",0
2551,0.24,"E",1
3900,0.13,"B",0.56
2000,0.11,"A",0.75
3500,0.16,"D",0.62
15000,0.41,"C",0.76
1050,0.2,"C",0.48
15000,0.31,"D",0.64
5000,0.32,"C",0.08
9000,0.1,"C",0.19
6000,0.36,"C",1
4500,0.15,"D",0.99
6000,0.15,"A",0.92
7500,0.2,"E",0.53
4000,0.19,"HR",0.52
15000,NA,"C",0.03
4000,0.16,"HR",0
6700,0.6,"D",0.64
3000,0.42,"D",0.76
9200,0.18,"A",0.46
10000,0.21,"D",0.69
5000,0.13,"A",0.08
3000,0.32,"E",NA
4000,0.19,"C",0.49
5000,0.28,"AA",0.44
20000,7.99,"D",0.87
6500,0.12203,"AA",NA
7500,0.14,"D",0.84
4000,NA,"HR",0.72
4000,0.34,"HR",0.99
3500,0.13,"C",0.39
10000,0.1,"AA",0.01
10000,0.36,"A",0.13
5000,NA,"B",0.71
10884,0.33,"C",0.64
25000,0.2,"C",0.84
7000,0.23,"AA",0.43
7500,NA,"E",0.16
4500,0.04,"AA",0.01
4500,0.23,"D",0.8
15000,0.43,"C",0.55
15000,0.18,"D",0.69
15000,0.25,"D",0.45
10000,NA,"D",0.04
2500,0.35,"C",0.88
3200,0.03,"D",0.87
2100,0.4,"D",0.91
4000,0.24,"E",0.01
23500,0.73,"A",0.29
1000,0.09,"HR",0.45
4000,0.28,"E",0.83
15000,0.35,"B",0.71
4800,0.18,"D",0.86
7000,0.42,"C",0.44
5000,NA,"E",0.92
4000,0.54,"HR",0.89
4000,0.2,"HR",0.75
4000,0.35,"B",0.71
1200,0.33,"C",0.77
1500,NA,"D",1
25000,0.15,"C",0.36
6000,0.37,"C",0.71
1000,0.28,"E",0.83
25000,0.09,"A",0
19500,0.4,"AA",0.88
10000,0.16,"B",0.4
5500,0.07,"D",0.74
4000,0.16,"B",0.29
7000,0.08,"A",0.47
15000,NA,"A",0.23
4000,0.25,"D",0.73
4000,NA,"HR",0.81
11000,0.29,"D",0.83
4500,0.21,"B",0.58
2000,0.11,"D",0.32
13000,0.22,"B",0.7
5000,0.11,"C",NA
2000,0.09,"C",0.99
5000,0.17,"AA",0.27
4000,0.48,"D",0
12000,0.12,"B",0.78
15000,0.15,"A",0.14
10790,0.29,"A",0.38
6200,0.1,"C",0
15000,0.43,"C",0.27
13000,0.21,"A",0.5
4000,0.4,"HR",0.88
2000,0.31,"C",0.23
4000,NA,"E",0.87
2000,0.13,"B",0
10000,0.21,"E",0.74
8000,0.15,"C",0.67
4000,0.47,"E",0.91
2500,NA,"D",0.15
25000,0.14,"C",0.14
4000,0.29,"B",0.78
4000,0.19,"B",0.38
15000,0.1,"B",0
5000,0.14,"B",0.45
15000,0.32,"A",0.73
3000,0.16,"D",0.99
2000,0.23,"E",0.61
15000,0.17,"D",0.83
1250,0.11,"HR",1.02
20000,0.33,"C",0.85
1500,0.05,"HR",0.72
20000,0.3,"AA",0.8
15000,0.2,"D",0.9
2000,0.12,"C",0.97
5500,0.29,"D",0.57
15000,0.29,"A",0.76
7000,0.13,"D",0.92
5000,0.26,"AA",0.33
10000,0.32,"A",0.24
3500,0.06,"NC",NA
